year,title,studio,total_gross,total_theaters,opening_gross,opening_theaters,opening_date
2019,Avengers: Endgame,BV,"$858,373,000",4662,"$357,115,007",4662,4/26
2019,The Lion King (2019),BV,"$541,602,701",4802,"$191,770,759",4725,7/19
2019,Toy Story 4,BV,"$433,400,980",4575,"$120,908,065",4575,6/21
2019,Captain Marvel ,BV,"$426,829,839",4310,"$153,433,423",4310,3/8
2019,Spider-Man: Far from Home,Sony,"$390,361,240",4634,"$92,579,212",4634,7/2
2019,Aladdin (2019),BV,"$355,487,548",4476,"$91,500,929",4476,5/24
2019,It: Chapter Two,WB (NL),"$203,910,424",4570,"$91,062,152",4570,9/6
2019,Us,Uni.,"$175,005,930",3743,"$71,117,625",3741,3/22
2019,Fast & Furious Presents: Hobbs & Shaw,Uni.,"$173,349,350",4344,"$60,038,950",4253,8/2
2019,John Wick: Chapter 3 - Parabellum,LG/S,"$171,015,687",3850,"$56,818,067",3850,5/17
2019,How to Train Your Dragon: The Hidden World,Uni.,"$160,799,505",4286,"$55,022,245",4259,2/22
2019,The Secret Life of Pets 2,Uni.,"$158,257,265",4564,"$46,652,680",4561,6/7
2019,Pokemon Detective Pikachu,WB,"$144,105,346",4248,"$54,365,242",4202,5/10
2019,Shazam!,WB (NL),"$140,371,656",4306,"$53,505,326",4217,4/5
2019,Once Upon a Time in Hollywood,Sony,"$139,501,916",3659,"$41,082,018",3659,7/26
2019,Joker (2019),WB,"$137,728,787",4374,"$96,202,337",4374,10/4
2019,Dumbo (2019),BV,"$114,766,307",4259,"$45,990,748",4259,3/29
2019,Glass,Uni.,"$111,035,005",3844,"$40,328,920",3841,1/18
2019,Godzilla: King of the Monsters,WB,"$110,500,138",4108,"$47,776,293",4108,5/31
2019,The Upside,STX,"$108,252,517",3568,"$20,355,000",3080,1/11
2019,The LEGO Movie 2: The Second Part,WB,"$105,806,508",4303,"$34,115,335",4303,2/8
2019,Rocketman  ,Par.,"$96,368,160",3610,"$25,725,722",3610,5/31
2019,Hustlers,STX,"$94,165,339",3525,"$33,181,361",3250,9/13
2019,Alita: Battle Angel,Fox,"$85,710,210",3802,"$28,525,613",3790,2/14
2019,Good Boys,Uni.,"$82,414,810",3458,"$21,402,605",3204,8/16
2019,Men in Black International,Sony,"$80,001,807",4224,"$30,035,838",4224,6/14
2019,Downton Abbey,Focus,"$77,787,590",3548,"$31,033,665",3079,9/20
2019,Annabelle Comes Home,WB (NL),"$74,152,591",3613,"$20,269,723",3613,6/26
2019,Yesterday,Uni.,"$73,286,650",2755,"$17,010,050",2603,6/28
2019,Tyler Perry's A Madea Family Funeral,LGF,"$73,257,045",2442,"$27,062,332",2442,3/1
2019,Angel has Fallen,LGF,"$68,572,475",3336,"$21,380,987",3286,8/23
2019,Scary Stories to Tell in the Dark,LGF,"$67,676,254",3135,"$20,915,346",3135,8/9
2019,Dark Phoenix,Fox,"$65,845,974",3721,"$32,828,348",3721,6/7
2019,Dora and the Lost City of Gold,Par.,"$60,146,920",3735,"$17,431,588",3735,8/9
2019,Escape Room,Sony,"$57,005,601",2717,"$18,238,172",2717,1/4
2019,The Curse of La Llorona ,WB (NL),"$54,733,739",3372,"$26,347,631",3372,4/19
2019,Pet Sematary (2019),Par.,"$54,724,696",3585,"$24,502,775",3585,4/5
2019,What Men Want,Par.,"$54,611,903",2912,"$18,232,087",2912,2/8
2019,Isn't It Romantic,WB (NL),"$48,791,187",3444,"$14,247,758",3444,2/13
2019,Five Feet Apart,LGF,"$45,729,221",2866,"$13,190,286",2803,3/15
2019,Ma (2019),Uni.,"$45,373,120",2816,"$18,099,805",2808,5/31
2019,Wonder Park,Par.,"$45,216,793",3838,"$15,853,646",3838,3/15
2019,Ad Astra,Fox,"$45,088,432",3460,"$19,001,398",3460,9/20
2019,A Dog's Way Home,Sony,"$42,004,346",3090,"$11,251,263",3090,1/11
2019,Abominable,Uni.,"$41,801,350",4248,"$20,612,100",4242,9/27
2019,Rambo: Last Blood,LGF,"$41,360,586",3618,"$18,872,919",3618,9/20
2019,The Angry Birds Movie 2,Sony,"$41,310,366",3869,"$10,354,073",3869,8/13
2019,Breakthrough,Fox,"$40,713,082",2913,"$11,282,333",2824,4/17
2019,Little,Uni.,"$40,673,960",2667,"$15,405,455",2667,4/12
2019,Crawl ,Par.,"$39,014,193",3170,"$12,005,210",3170,7/12
2019,The Intruder (2019) ,SGem,"$35,419,122",2231,"$10,855,054",2222,5/3
2019,The Hustle,UAR,"$35,417,038",3077,"$13,007,709",3007,5/10
2019,Overcomer,Affirm,"$34,138,775",2293,"$8,146,533",1723,8/23
2019,Cold Pursuit,LG/S,"$32,138,862",2630,"$11,030,233",2630,2/8
2019,Dragon Ball Super: Broly,FUN,"$30,712,119",1267,"$9,816,197",1238,1/16
2019,Long Shot,LG/S,"$30,316,271",3230,"$9,740,064",3230,5/3
2019,Child's Play (2019),UAR,"$29,208,403",3007,"$14,094,594",3007,6/21
2019,Ready or Not,FoxS,"$28,648,387",2998,"$8,015,590",2855,8/21
2019,Happy Death Day 2U,Uni.,"$28,051,045",3212,"$9,497,665",3207,2/13
2019,Midsommar,A24,"$27,426,361",2707,"$6,560,030",2707,7/3
2019,The Art of Racing in the Rain,Fox,"$26,277,008",2765,"$8,137,584",2765,8/9
2019,Fighting with My Family,MGM,"$22,958,583",2855,"$138,780",4,2/14
2019,Booksmart,UAR,"$22,680,962",2518,"$6,933,620",2505,5/24
2019,A Dog's Journey,Uni.,"$22,546,590",3279,"$8,030,085",3267,5/17
2019,Stuber,Fox,"$22,370,452",3050,"$8,225,384",3050,7/12
2019,47 Meters Down: Uncaged,ENTMP,"$22,145,739",2883,"$8,427,265",2853,8/16
2019,Hellboy (2019),LG/S,"$21,903,748",3303,"$12,045,147",3303,4/12
2019,Shaft (2019) ,WB (NL),"$21,360,215",2952,"$8,901,419",2952,6/14
2019,Uglydolls,STX,"$20,150,241",3652,"$8,603,407",3652,5/3
2019,The Peanut Butter Falcon,RAtt.,"$19,235,006",1490,"$204,793",17,8/9
2019,Unplanned,PFR,"$19,005,109",1516,"$6,382,298",1059,3/29
2019,The Farewell ,A24,"$17,584,630",891,"$355,662",4,7/12
2019,Brightburn,SGem,"$17,300,439",2607,"$7,845,658",2607,5/24
2019,The Kid Who Would be King,Fox,"$16,790,790",3528,"$7,173,887",3521,1/25
2019,Missing Link,UAR,"$16,649,539",3437,"$5,944,950",3413,4/12
2019,Late Night ,Amazon,"$15,499,454",2220,"$246,305",4,6/7
2019,Miss Bala,Sony,"$15,006,824",2203,"$6,864,744",2203,2/1
2019,The Prodigy,Orion,"$14,856,291",2530,"$5,853,061",2530,2/8
2019,Poms,STX,"$13,631,124",2750,"$5,361,937",2750,5/10
2019,The Kitchen (2019),WB (NL),"$12,180,032",2745,"$5,527,410",2745,8/9
2019,After (2019),Aviron,"$12,138,565",2138,"$6,002,349",2138,4/12
2019,Blinded By the Light,WB,"$11,901,145",2307,"$4,333,305",2307,8/16
2019,Judy,RAtt.,"$11,718,851",1627,"$2,916,548",461,9/27
2019,Greta,Focus,"$10,519,425",2417,"$4,481,910",2411,3/1
2019,The Best of Enemies,STX,"$10,205,616",1705,"$4,446,190",1705,4/5
2019,Hotel Mumbai,BST,"$9,651,611",930,"$88,065",4,3/22
2019,No Manches Frida 2,PNT,"$9,270,920",472,"$3,831,401",472,3/15
2019,"Where'd You Go, Bernadette",UAR,"$9,198,356",2404,"$3,462,308",2404,8/16
2019,Apollo 11,Neon,"$9,039,891",588,"$1,607,040",120,3/1
2019,Serenity (2019),Aviron,"$8,547,045",2561,"$4,415,403",2561,1/25
2019,Anna (2019),LG/S,"$7,743,794",2114,"$3,600,647",2114,6/21
2019,Penguins (Disneynature),BV,"$7,699,452",1815,"$2,282,593",1815,4/17
2019,Brittany Runs a Marathon,Amazon,"$6,964,294",1033,"$180,711",5,8/23
2019,The Dead Don't Die,Focus,"$6,563,605",690,"$2,540,240",613,6/14
2019,Run the Race,RAtt.,"$6,424,420",1075,"$2,161,480",853,2/22
2019,Captive State,Focus,"$5,958,315",2549,"$3,131,525",2548,3/15
2019,The Wandering Earth,CMC,"$5,875,487",129,"$1,685,287",64,2/5
2019,Gloria Bell,A24,"$5,611,123",1127,"$145,218",5,3/8
2019,Gully Boy,VPD,"$5,566,534",270,"$2,045,068",258,2/14
2019,The Goldfinch,WB,"$5,278,602",2542,"$2,679,027",2542,9/13
2018,Black Panther,BV,"$700,059,566",4084,"$202,003,951",4020,2/16
2018,Avengers: Infinity War,BV,"$678,815,482",4474,"$257,698,183",4474,4/27
2018,Incredibles 2,BV,"$608,581,744",4410,"$182,687,905",4410,6/15
2018,Jurassic World: Fallen Kingdom,Uni.,"$417,719,760",4485,"$148,024,610",4475,6/22
2018,Aquaman,WB,"$335,061,807",4184,"$67,873,522",4125,12/21
2018,Deadpool 2,Fox,"$318,491,426",4349,"$125,507,153",4349,5/18
2018,Dr. Seuss' The Grinch (2018),Uni.,"$270,620,950",4141,"$67,572,855",4141,11/9
2018,Mission: Impossible - Fallout,Par.,"$220,159,104",4395,"$61,236,534",4386,7/27
2018,Ant-Man and the Wasp,BV,"$216,648,740",4206,"$75,812,205",4206,7/6
2018,Bohemian Rhapsody,Fox,"$216,428,042",4000,"$51,061,119",4000,11/2
2018,A Star is Born (2018),WB,"$215,288,866",3904,"$42,908,051",3686,10/5
2018,Solo: A Star Wars Story,BV,"$213,767,512",4381,"$84,420,489",4381,5/25
2018,Venom (2018),Sony,"$213,515,506",4250,"$80,255,756",4250,10/5
2018,Ralph Breaks the Internet,BV,"$201,091,711",4017,"$56,237,634",4017,11/21
2018,Spider-Man: Into The Spider-Verse,Sony,"$190,241,310",3813,"$35,363,376",3813,12/14
2018,A Quiet Place,Par.,"$188,024,361",3808,"$50,203,562",3508,4/6
2018,Crazy Rich Asians,WB,"$174,532,921",3865,"$26,510,140",3384,8/15
2018,Mary Poppins Returns,BV,"$171,958,438",4090,"$23,523,121",4090,12/19
2018,Hotel Transylvania 3: Summer Vacation,Sony,"$167,510,016",4267,"$44,076,225",4267,7/13
2018,Fantastic Beasts: The Crimes of Grindelwald,WB,"$159,555,901",4163,"$62,163,104",4163,11/16
2018,Halloween (2018),Uni.,"$159,342,015",3990,"$76,221,545",3928,10/19
2018,The Meg,WB,"$145,443,742",4118,"$45,402,195",4118,8/10
2018,Ocean's 8,WB,"$140,218,711",4145,"$41,607,378",4145,6/8
2018,Ready Player One,WB,"$137,690,172",4234,"$41,764,050",4234,3/29
2018,Bumblebee,Par.,"$127,195,589",3597,"$21,654,047",3550,12/21
2018,Mamma Mia! Here We Go Again,Uni.,"$120,634,935",3514,"$34,952,180",3317,7/20
2018,The Nun,WB (NL),"$117,450,119",3876,"$53,807,379",3876,9/7
2018,Creed II,MGM,"$115,715,889",3752,"$35,574,710",3441,11/21
2018,Peter Rabbit,Sony,"$115,253,424",3725,"$25,010,928",3725,2/9
2018,The Mule,WB,"$103,804,407",3329,"$17,509,431",2588,12/14
2018,The Equalizer 2,Sony,"$102,084,362",3388,"$36,011,640",3388,7/20
2018,Rampage (2018),WB (NL),"$101,028,233",4115,"$35,753,093",4101,4/13
2018,A Wrinkle in Time,BV,"$100,478,608",3980,"$33,123,609",3980,3/9
2018,Fifty Shades Freed,Uni.,"$100,407,760",3768,"$38,560,195",3768,2/9
2018,Disney's Christopher Robin,BV,"$99,215,042",3602,"$24,585,139",3602,8/3
2018,Green Book,Uni.,"$85,080,171",2648,"$320,429",25,11/16
2018,I Can Only Imagine,RAtt.,"$83,482,352",2894,"$17,108,914",1629,3/16
2018,Smallfoot,WB,"$83,240,103",4131,"$23,045,635",4131,9/28
2018,Night School (2018),Uni.,"$77,339,130",3019,"$27,257,615",3010,9/28
2018,The First Purge,Uni.,"$69,488,745",3038,"$17,374,280",3031,7/4
2018,Game Night,WB (NL),"$69,179,066",3502,"$17,005,332",3488,2/23
2018,Book Club,Par.,"$68,566,296",3169,"$13,582,231",2781,5/18
2018,The House With A Clock In Its Walls,Uni.,"$68,549,695",3592,"$26,608,020",3592,9/21
2018,Skyscraper,Uni.,"$68,420,120",3822,"$24,905,015",3782,7/13
2018,Insidious: The Last Key,Uni.,"$67,745,330",3150,"$29,581,355",3116,1/5
2018,Instant Family,Par.,"$67,363,237",3426,"$14,504,315",3286,11/16
2018,Blockers,Uni.,"$60,311,495",3418,"$20,556,350",3379,4/6
2018,Pacific Rim Uprising,Uni.,"$59,874,525",3708,"$28,116,535",3708,3/23
2018,Tomb Raider,WB,"$58,250,803",3854,"$23,633,317",3854,3/16
2018,Maze Runner: The Death Cure,Fox,"$58,032,443",3793,"$24,167,011",3787,1/26
2018,The Nutcracker and the Four Realms,BV,"$54,858,851",3766,"$20,352,491",3766,11/2
2018,Tag,WB (NL),"$54,730,625",3382,"$14,947,396",3382,6/15
2018,A Simple Favor,LGF,"$53,548,586",3102,"$16,011,689",3102,9/14
2018,Life of the Party ,WB (NL),"$53,059,911",3656,"$17,886,075",3656,5/11
2018,The Predator (2018),Fox,"$51,024,708",4070,"$24,632,284",4037,9/14
2018,Overboard (2018),PNT,"$50,316,123",2006,"$14,711,101",1623,5/4
2018,Sicario: Day of the Soldado,Sony,"$50,072,235",3055,"$19,007,566",3055,6/29
2018,BlacKkKlansman,Focus,"$49,275,340",1914,"$10,845,330",1512,8/10
2018,I Feel Pretty,STX,"$48,795,601",3440,"$16,030,218",3440,4/20
2018,Vice,Annapurna,"$47,836,282",2534,"$7,768,371",2442,12/25
2018,Red Sparrow,Fox,"$46,874,505",3064,"$16,853,422",3056,3/2
2018,Breaking In (2018),Uni.,"$46,840,590",2537,"$17,630,285",2537,5/11
2018,Goosebumps 2: Haunted Halloween,Sony,"$46,700,633",3723,"$15,802,225",3521,10/12
2018,12 Strong,WB,"$45,819,713",3018,"$15,815,025",3002,1/19
2018,Den of Thieves,STX,"$44,947,622",2432,"$15,206,108",2432,1/19
2018,First Man,Uni.,"$44,936,545",3640,"$16,006,065",3640,10/12
2018,Hereditary,A24,"$44,069,456",2998,"$13,575,172",2964,6/8
2018,Tyler Perry's Acrimony,LGF,"$43,549,096",2006,"$17,170,707",2006,3/30
2018,Sherlock Gnomes,Par.,"$43,242,871",3662,"$10,604,774",3662,3/23
2018,Uncle Drew,LG/S,"$42,469,946",2742,"$15,242,781",2742,6/29
2018,Widows,Fox,"$42,402,632",2803,"$12,361,307",2803,11/16
2018,Truth or Dare,Uni.,"$41,411,015",3068,"$18,667,855",3029,4/13
2018,Paddington 2,WB,"$40,891,591",3702,"$11,001,961",3702,1/12
2018,"Love, Simon",Fox,"$40,826,341",2434,"$11,756,244",2402,3/16
2018,Second Act,STX,"$39,282,227",2607,"$6,489,983",2607,12/21
2018,The Commuter,LGF,"$36,343,858",2892,"$13,701,452",2892,1/12
2018,The 15:17 to Paris,WB,"$36,276,286",3042,"$12,554,286",3042,2/9
2018,Mile 22,STX,"$36,108,758",3520,"$13,710,825",3520,8/17
2018,Alpha,Studio 8,"$35,857,181",2881,"$10,352,512",2719,8/17
2018,Peppermint,STX,"$35,418,723",2980,"$13,423,255",2980,9/7
2018,The Favourite,FoxS,"$34,366,783",1554,"$422,410",4,11/23
2018,Death Wish (2018),MGM,"$34,017,028",2882,"$13,010,267",2847,3/2
2018,The Spy Who Dumped Me,LGF,"$33,562,069",3111,"$12,103,043",3111,8/3
2018,Annihilation,Par.,"$32,732,301",2112,"$11,071,584",2012,2/23
2018,Isle Of Dogs,FoxS,"$32,015,231",1947,"$1,620,294",27,3/23
2018,Nobody's Fool,Par.,"$31,713,110",2468,"$13,743,111",2468,11/2
2018,Adrift,STX,"$31,445,012",3015,"$11,603,039",3015,6/1
2018,Robin Hood (2018),LG/S,"$30,824,628",2827,"$9,195,670",2827,11/21
2018,Super Troopers 2,Fox,"$30,617,396",2125,"$15,181,624",2038,4/20
2018,Holmes and Watson,Sony,"$30,573,626",2780,"$7,411,522",2776,12/25
2018,Slender Man,SGem,"$30,569,484",2358,"$11,371,866",2358,8/10
2018,Teen Titans Go! To The Movies,WB,"$29,790,236",3188,"$10,411,189",3188,7/27
2018,The Hate U Give,Fox,"$29,719,483",2375,"$512,035",36,10/5
2018,Searching,SGem,"$26,020,957",2009,"$388,769",9,8/24
2018,Winchester,LGF,"$25,091,816",2480,"$9,307,626",2480,2/2
2018,On the Basis of Sex,Focus,"$24,622,687",1957,"$686,355",33,12/25
2018,Strangers: Prey at Night,Aviron,"$24,586,708",2464,"$10,402,271",2464,3/9
2018,White Boy Rick,Studio 8,"$24,011,188",2504,"$8,860,431",2504,9/14
2018,Won't You Be My Neighbor?,Focus,"$22,835,787",893,"$475,419",29,6/8
2018,Overlord,Par.,"$21,704,844",2859,"$10,202,108",2859,11/9
2017,Star Wars: The Last Jedi,BV,"$620,181,382",4232,"$220,009,584",4232,12/15
2017,Beauty and the Beast (2017),BV,"$504,014,165",4210,"$174,750,616",4210,3/17
2017,Wonder Woman,WB,"$412,563,408",4165,"$103,251,471",4165,6/2
2017,Jumanji: Welcome to the Jungle,Sony,"$404,515,480",3849,"$36,169,328",3765,12/20
2017,Guardians of the Galaxy Vol. 2,BV,"$389,813,101",4347,"$146,510,104",4347,5/5
2017,Spider-Man: Homecoming,Sony,"$334,201,140",4348,"$117,027,503",4348,7/7
2017,It,WB (NL),"$327,481,748",4148,"$123,403,419",4103,9/8
2017,Thor: Ragnarok,BV,"$315,058,289",4080,"$122,744,989",4080,11/3
2017,Despicable Me 3,Uni.,"$264,624,300",4535,"$72,434,025",4529,6/30
2017,Justice League,WB,"$229,024,295",4051,"$93,842,239",4051,11/17
2017,Logan (2017),Fox,"$226,277,068",4071,"$88,411,916",4071,3/3
2017,The Fate of the Furious,Uni.,"$226,008,385",4329,"$98,786,705",4310,4/14
2017,Coco,BV,"$209,726,015",3987,"$50,802,605",3987,11/22
2017,Dunkirk,WB,"$188,045,546",4014,"$50,513,488",3720,7/21
2017,Get Out,Uni.,"$176,040,665",3143,"$33,377,060",2781,2/24
2017,The LEGO Batman Movie,WB,"$175,750,384",4088,"$53,003,468",4088,2/10
2017,The Boss Baby,Fox,"$175,003,033",3829,"$50,198,902",3773,3/31
2017,The Greatest Showman,Fox,"$174,340,174",3342,"$8,805,843",3006,12/20
2017,Pirates of the Caribbean: Dead Men Tell No Tales,BV,"$172,558,876",4276,"$62,983,253",4276,5/26
2017,Kong: Skull Island,WB,"$168,052,812",3846,"$61,025,472",3846,3/10
2017,Cars 3,BV,"$152,901,115",4256,"$53,688,680",4256,6/16
2017,War for the Planet of the Apes,Fox,"$146,880,162",4100,"$56,262,929",4022,7/14
2017,Split,Uni.,"$138,291,365",3373,"$40,010,975",3038,1/20
2017,Wonder,LGF,"$132,422,809",3519,"$27,547,866",3096,11/17
2017,Transformers: The Last Knight,Par.,"$130,168,683",4132,"$44,680,073",4069,6/21
2017,Girls Trip,Uni.,"$115,171,585",2648,"$31,201,920",2591,7/21
2017,Fifty Shades Darker,Uni.,"$114,581,250",3714,"$46,607,250",3710,2/10
2017,Baby Driver,TriS,"$107,825,862",3226,"$20,553,320",3226,6/28
2017,Pitch Perfect 3,Uni.,"$104,897,530",3468,"$19,928,525",3447,12/22
2017,Daddy's Home 2,Par.,"$104,029,443",3575,"$29,651,193",3575,11/10
2017,Murder on the Orient Express (2017),Fox,"$102,826,543",3354,"$28,681,472",3341,11/10
2017,Annabelle: Creation,WB (NL),"$102,092,201",3565,"$35,006,404",3502,8/11
2017,Kingsman: The Golden Circle,Fox,"$100,234,838",4038,"$39,023,010",4003,9/22
2017,Blade Runner 2049,WB,"$92,054,159",4058,"$32,753,122",4058,10/6
2017,John Wick: Chapter Two,LG/S,"$92,029,184",3113,"$30,436,123",3113,2/10
2017,The Emoji Movie,Sony,"$86,089,513",4075,"$24,531,923",4075,7/28
2017,Power Rangers (2017),LGF,"$85,364,450",3693,"$40,300,288",3693,3/24
2017,Ferdinand,Fox,"$84,410,380",3630,"$13,401,586",3621,12/15
2017,The Post,Fox,"$81,903,458",2851,"$526,011",9,12/22
2017,The Mummy (2017),Uni.,"$80,227,895",4035,"$31,688,375",4035,6/9
2017,The Hitman's Bodyguard,LG/S,"$75,468,583",3377,"$21,384,504",3377,8/18
2017,Alien: Covenant,Fox,"$74,262,031",3772,"$36,160,621",3761,5/19
2017,Captain Underpants: The First Epic Movie,Fox,"$73,921,000",3529,"$23,851,539",3434,6/2
2017,A Bad Moms Christmas,STX,"$72,110,659",3615,"$16,759,161",3615,11/1
2017,A Dog's Purpose,Uni.,"$64,508,620",3178,"$18,222,810",3059,1/27
2017,The Shape of Water,FoxS,"$63,859,435",2341,"$166,564",2,12/1
2017,The LEGO Ninjago Movie,WB,"$59,281,555",4047,"$20,433,071",4047,9/22
2017,Baywatch,Par.,"$58,060,186",3647,"$18,503,871",3647,5/25
2017,The Shack,LG/S,"$57,386,418",2888,"$16,172,119",2888,3/3
2017,Darkest Hour,Focus,"$56,468,410",1733,"$175,006",4,11/22
2017,Happy Death Day,Uni.,"$55,683,845",3535,"$26,039,025",3149,10/13
2017,"Three Billboards Outside Ebbing, Missouri",FoxS,"$54,513,740",1726,"$322,168",4,11/10
2017,Atomic Blonde,Focus,"$51,687,870",3326,"$18,286,420",3304,7/28
2017,American Made,Uni.,"$51,342,000",3098,"$16,776,390",3024,9/29
2017,The Dark Tower,Sony,"$50,701,325",3451,"$19,153,698",3451,8/4
2017,Lady Bird,A24,"$48,958,273",1557,"$364,437",4,11/3
2017,Tyler Perry's Boo 2! A Madea Halloween,LGF,"$47,319,572",2388,"$21,226,953",2388,10/20
2017,Snatched,Fox,"$45,852,178",3511,"$19,542,248",3501,5/12
2017,The Great Wall,Uni.,"$45,540,830",3328,"$18,469,620",3326,2/17
2017,Smurfs: The Lost Village,Sony,"$45,020,282",3610,"$13,210,449",3610,4/7
2017,Going in Style (2017),WB (NL),"$45,018,541",3076,"$11,932,330",3061,4/7
2017,All Eyez on Me,LG/S,"$44,922,302",2471,"$26,435,354",2471,6/16
2017,xXx: The Return of Xander Cage,Par.,"$44,898,413",3651,"$20,130,142",3651,1/20
2017,47 Meters Down,ENTMP,"$44,307,191",2471,"$11,205,561",2270,6/16
2017,The Big Sick,LGF,"$42,873,127",2597,"$421,577",5,6/23
2017,Valerian and the City of a Thousand Planets,STX,"$41,189,488",3553,"$17,007,624",3553,7/21
2017,The Star,Sony,"$40,852,824",2976,"$9,812,674",2837,11/17
2017,Ghost in the Shell (2017),Par.,"$40,563,557",3440,"$18,676,033",3440,3/31
2017,King Arthur: Legend of the Sword,WB,"$39,175,066",3702,"$15,371,270",3702,5/12
2017,Jigsaw,LGF,"$38,052,832",2941,"$16,640,452",2941,10/27
2017,American Assassin,LGF,"$36,249,674",3154,"$14,846,778",3154,9/15
2017,The Foreigner,STX,"$34,393,507",2515,"$13,113,024",2515,10/13
2017,"Everything, Everything",WB,"$34,121,140",2801,"$11,727,390",2801,5/19
2017,Wind River,Wein.,"$33,800,859",2890,"$161,558",4,8/4
2017,Geostorm,WB,"$33,700,160",3246,"$13,707,376",3246,10/20
2017,Monster Trucks,Par.,"$33,370,166",3119,"$10,950,705",3119,1/13
2017,Fist Fight,WB (NL),"$32,187,017",3185,"$12,201,873",3185,2/17
2017,How to be a Latin Lover,PNT,"$32,149,404",1203,"$12,252,439",1118,4/28
2017,Kidnap (2017),Aviron,"$30,971,040",2418,"$10,016,323",2378,8/4
2017,Underworld: Blood Wars,SGem,"$30,353,973",3070,"$13,688,751",3070,1/6
2017,The Mountain Between Us,Fox,"$30,348,555",3259,"$10,551,336",3088,10/6
2017,Life (2017),Sony,"$30,234,022",3146,"$12,501,936",3146,3/24
2017,"I, Tonya",Neon,"$30,014,539",1450,"$264,155",4,12/8
2017,Hostiles,ENTMP,"$29,819,114",2934,"$22,849",3,12/22
2017,Molly's Game,STX,"$28,780,744",1708,"$2,349,967",271,12/25
2017,The Nut Job 2: Nutty by Nature,ORF,"$28,370,522",4003,"$8,342,311",4003,8/11
2017,Rings,Par.,"$27,793,018",2931,"$13,002,632",2931,2/3
2017,Logan Lucky,BST,"$27,780,977",3031,"$7,600,036",3031,8/18
2017,Home Again,ORF,"$27,020,284",3036,"$8,567,881",2940,9/8
2017,Resident Evil: The Final Chapter,SGem,"$26,830,068",3104,"$13,601,682",3104,1/27
2017,The House,WB (NL),"$25,584,504",3134,"$8,724,795",3134,6/30
2017,All the Money in the World,TriS,"$25,113,707",2123,"$5,584,684",2074,12/25
2017,Gifted,FoxS,"$24,801,212",2215,"$446,380",56,4/7
2017,Downsizing,Par.,"$24,449,754",2668,"$4,954,287",2668,12/22
2017,The Bye Bye Man,STX,"$22,395,806",2220,"$13,501,349",2220,1/13
2017,Victoria and Abdul,Focus,"$22,245,070",1060,"$158,845",4,9/22
2017,Rough Night,Sony,"$22,105,643",3162,"$8,004,283",3162,6/16
2017,My Little Pony: The Movie,LGF,"$21,885,107",2528,"$8,885,899",2528,10/6
2017,Leap!,Wein.,"$21,858,070",2705,"$4,730,038",2575,8/25
2017,Phantom Thread,Focus,"$21,198,205",1186,"$216,495",4,12/25
